task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"collect and analyze survey data, regulatory information, and data on demographic and employment trends to forecast enrollment patterns and curriculum change needs.",39.0000,0.0039,3.0513,3.0000,12.5897,13.2564,6.3244,12.5897
"collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.",57.0000,0.0057,3.2982,4.0000,13.1228,13.9298,4.9035,9.2281
"collect and analyze web metrics, such as visits, time on site, page views per visit, transaction volume and revenue, traffic mix, click-through rates, conversion rates, cost per acquisition, or cost per click.",50.0000,0.0050,3.5000,4.0000,12.0000,11.9400,3.2670,9.9400
"collect and deposit money into accounts, disburse funds from cash accounts to pay bills or invoices, keep records of collections and disbursements, and ensure accounts are balanced.",21.0000,0.0021,3.2857,4.0000,11.9524,12.0952,2.7395,12.3810
"collect and organize books, pamphlets, manuscripts, and other materials in specific fields, such as rare books, genealogy, or music.",25.0000,0.0025,3.7200,4.0000,10.1600,9.2000,2.7100,10.7600
"collect business intelligence data from available industry reports, public information, field reports, or purchased sources.",644.0000,0.0644,3.2050,3.0000,12.4099,12.4239,3.8224,6.4713
"collect data about existing client hardware, software, networking, or key business processes to inform implementation of radio frequency identification device (rfid) technology.",18.0000,0.0018,3.2778,4.0000,13.3333,13.5556,2.4072,15.5833
"collect data about the attitudes, values, and behaviors of people in groups, using observation, interviews, and review of documents.",39.0000,0.0039,3.4615,4.0000,12.5641,12.5385,3.9910,12.7436
"collect data relating to commercial or residential development, population, or power system interconnection to determine operating efficiency of electrical systems.",56.0000,0.0056,3.4107,4.0000,12.5536,12.8214,3.1330,11.4821
collect data through surveys or experimentation.,55.0000,0.0055,3.2000,3.0000,11.5091,12.2727,4.0422,6.4727
collect detailed information on individuals for use in biographies.,30.0000,0.0030,3.3333,3.0000,10.5667,9.5667,4.1683,11.6833
"collect information about clients through interviews, observation, or tests.",96.0000,0.0096,3.2292,3.0000,14.1667,14.1458,2.3955,7.2188
"collect information about clients, using techniques such as testing, interviewing, discussion, and observation.",72.0000,0.0072,3.3750,4.0000,9.1528,10.6806,0.7662,8.9583
"collect information about individuals or clients, using interviews, case histories, observational techniques, and other assessment methods.",146.0000,0.0146,3.6370,4.0000,11.9795,11.5890,2.6631,20.7911
"collect information and make judgments through observation, interviews, and review of documents.",16.0000,0.0016,3.5625,4.0000,13.6250,13.2500,4.8031,13.3594
collect or compile nanotechnology research or engineering data.,23.0000,0.0023,3.2174,3.0000,15.6522,15.6522,2.9739,11.2391
"collect samples of materials or products, checking them to ensure conformance to specifications or sending them to laboratories for analysis.",72.0000,0.0072,3.3889,4.0000,12.3611,11.9722,2.9829,9.4306
"collect, analyze, and interpret data such as election results and public opinion surveys, reporting on findings, recommendations, and conclusions.",182.0000,0.0182,3.3626,3.0000,10.6868,10.1264,1.4236,6.0137
"collect, compile, or integrate geographic information systems (gis) data, such as remote sensing or cartographic data for inclusion in map manuscripts.",25.0000,0.0025,3.4400,4.0000,13.0000,13.0400,3.7440,13.9800
"collect, count, and disburse money, do basic bookkeeping, and complete banking transactions.",22.0000,0.0022,3.0455,3.0000,11.8636,11.6818,2.9191,12.2273
"collect, record, and maintain patient information, such as medical histories, reports, and examination results.",63.0000,0.0063,2.8413,3.0000,13.3810,13.0159,3.6367,12.6032
"collect, record, and maintain patient information, such as medical history, reports, and examination results.",96.0000,0.0096,3.1354,3.0000,12.3958,11.8333,2.9505,13.1875
"collect, synthesize, analyze, manage, and report environmental data, such as pollution emission measurements, atmospheric monitoring measurements, meteorological or mineralogical information, or soil or water samples.",55.0000,0.0055,3.6000,4.0000,13.7455,13.8364,4.4555,11.2273
"communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.",62.0000,0.0062,3.3387,3.5000,11.3548,11.2419,0.8529,10.0645
"communicate client assessment findings and recommendations in oral, written, audio, video, or other forms.",168.0000,0.0168,3.2500,3.0000,13.5417,13.8155,6.5849,14.4762
"communicate examination results or diagnostic information to referring physicians, patients, or families.",74.0000,0.0074,3.5000,4.0000,12.3378,11.1622,0.7797,8.0676
"communicate freight transportation information to customers or suppliers, using transportation management, electronic logistics marketplace, or electronic freight information systems, to improve efficiency, speed, or quality of transportation services.",41.0000,0.0041,3.0732,3.0000,11.9512,11.8537,2.1512,12.4756
"communicate manufacturing capabilities, production schedules, or other information to facilitate production processes.",16.0000,0.0016,3.5000,4.0000,12.8125,12.1875,4.8406,9.0312
"communicate research findings on various types of diseases to health practitioners, policy makers, and the public.",20.0000,0.0020,3.4500,4.0000,11.6000,11.0000,1.4625,9.5250
"communicate research or project results to other professionals or the public or teach related courses, seminars, or workshops.",697.0000,0.0697,3.6557,4.0000,13.6040,13.0775,2.3902,13.3852
"communicate research results through conference presentations, scientific publications, or project reports.",172.0000,0.0172,3.6686,4.0000,14.2267,13.5814,3.2635,14.1657
"communicate scientific or technical information to the public, organizations, or internal audiences through oral briefings, written documents, workshops, conferences, training sessions, or public hearings.",59.0000,0.0059,3.2881,3.0000,10.7797,10.5254,1.9568,9.7373
"communicate security status, updates, and actual or potential problems, using established protocols.",32.0000,0.0032,3.2812,4.0000,10.7812,9.9062,0.7313,5.3594
"communicate students' progress to students, parents or teachers in written progress reports, in person, by phone, or by email.",127.0000,0.0127,2.9291,3.0000,10.8819,11.8898,0.8747,12.4016
"communicate technical or marketing information about distance learning via podcasts, webinars, and other technologies.",19.0000,0.0019,3.7368,4.0000,11.2632,11.5789,1.3158,9.7632
"communicate to faculty, students, or other users availability of, or changes to, distance learning courses or materials, programs, services, or applications.",65.0000,0.0065,3.1385,3.0000,11.0000,11.4308,0.9854,6.9385
"communicate with children's parents or guardians about daily activities, behaviors, and related issues.",83.0000,0.0083,3.0602,3.0000,8.4337,9.3373,1.0022,8.9940
"communicate with clients to build rapport, acknowledge their progress, or reflect upon their reactions to musical experiences.",43.0000,0.0043,3.6047,4.0000,8.2093,8.5349,0.6884,10.5291
"communicate with customers, competitors, suppliers, professional organizations, or others to stay abreast of industry or business trends.",52.0000,0.0052,3.2500,3.0000,11.4615,11.6154,1.8579,10.4712
"communicate with customers, employees, and other individuals to answer questions, disseminate or explain information, take orders, and address complaints.",103.0000,0.0103,3.0388,3.0000,8.6214,8.7864,0.8575,12.8738
"communicate with customers, sales staff, or marketing staff to determine customer needs.",53.0000,0.0053,3.3396,3.0000,8.0377,8.0000,0.5958,5.1792
"communicate with dispatchers by radio, telephone, or computer to exchange information and receive requests for passenger service.",36.0000,0.0036,3.2222,3.0000,8.3056,7.5833,0.5942,4.5417
communicate with laboratories or investigators regarding laboratory findings.,21.0000,0.0021,3.6667,4.0000,13.0952,12.7619,1.8452,11.1905
communicate with management and user personnel to develop production and design standards.,43.0000,0.0043,3.2558,3.0000,12.5349,13.1395,5.6426,10.4419
"communicate with readers, viewers, advertisers, or the general public via mail, email, or telephone.",32.0000,0.0032,3.0625,3.0000,10.2500,10.8750,0.4319,5.7344
communicate with regulatory agencies regarding compliance documentation or validation results.,15.0000,0.0015,3.2667,3.0000,13.8667,14.0000,1.7967,7.5333
communicate with staff or clients to understand specific system requirements.,71.0000,0.0071,3.1972,3.0000,9.1408,10.7465,0.5246,4.7465
"communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",81.0000,0.0081,3.3333,3.0000,10.5185,10.4444,1.8160,7.7840
"communicate with vendors to gather information about products, alert them to future needs, resolve problems, or address system maintenance issues.",82.0000,0.0082,3.0122,3.0000,11.7317,12.1463,1.0693,10.7402
compare a property with similar properties that have recently sold to determine its competitive market price.,87.0000,0.0087,3.2989,3.0000,12.3563,11.8851,2.8501,10.5690
compare previously prepared bank statements with canceled checks and reconcile discrepancies.,37.0000,0.0037,3.2432,3.0000,13.8108,14.0000,4.8689,17.2703
"compare prices, specifications, and delivery dates to determine the best bid among potential suppliers.",45.0000,0.0045,3.2444,3.0000,11.5778,11.4222,2.9911,12.0333
compare suppliers' bills with bids and purchase orders to verify accuracy.,19.0000,0.0019,3.1579,3.0000,12.5789,11.8947,1.6895,8.6842
compile and analyze accounting records and other data to determine the financial resources required to implement a program.,22.0000,0.0022,3.2727,3.0000,12.8636,12.6364,3.2764,10.3409
compile and analyze data obtained from monitoring or diagnostic tests.,170.0000,0.0170,3.2000,3.0000,11.9529,12.2000,2.0601,10.8618
compile and evaluate clinical practice statistics.,33.0000,0.0033,3.1515,3.0000,14.3030,14.4242,4.3439,14.3636
compile and format image data to increase its usefulness.,187.0000,0.0187,3.0856,3.0000,9.9947,9.2193,1.3328,5.5989
compile and interpret results of tests and analyses.,39.0000,0.0039,3.1795,3.0000,14.2821,14.3077,3.4790,14.0000
compile and maintain patients' medical records to document condition and treatment and to provide data for research or cost control and care improvement efforts.,122.0000,0.0122,3.1475,3.0000,14.6230,14.1066,4.1630,13.5861
compile and maintain regulatory documentation databases or systems.,27.0000,0.0027,3.3704,4.0000,15.2222,14.5926,4.5426,14.3148
"compile and prepare documentation related to production sequences, transportation, personnel schedules, or purchase, maintenance, or repair orders.",18.0000,0.0018,3.1667,3.5000,11.6667,12.1667,2.0928,10.6389
compile and prepare reports and documents pertaining to personnel activities.,121.0000,0.0121,3.2314,3.0000,12.9174,12.9504,3.0087,14.4628
"compile and record medical charts, reports, or correspondence, using typewriter or personal computer.",75.0000,0.0075,3.0800,3.0000,14.2533,13.8133,3.5093,12.3733
"compile and report meteorological data, such as temperature, relative humidity, wind direction and velocity, and types of cloud formations.",45.0000,0.0045,3.3111,3.0000,9.0000,8.6444,1.1518,2.5056
"compile and study occupational, educational, and economic information to assist counselees in determining and carrying out vocational and educational objectives.",373.0000,0.0373,3.5791,4.0000,12.9866,13.0188,3.8324,15.4578
"compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",7597.0000,0.7597,3.5041,4.0000,13.9780,14.1153,5.7798,15.8727
compile bibliographies and prepare abstracts on subjects of interest to particular organizations or groups.,187.0000,0.0187,3.2567,3.0000,15.3102,15.6203,4.4255,11.4599
compile bibliographies of specialized materials for outside reading assignments.,233.0000,0.0233,3.2618,3.0000,14.9828,15.4292,4.6217,10.1609
"compile budget data and documents, based on estimated revenues and expenses and previous budgets.",133.0000,0.0133,3.2406,4.0000,12.1353,12.8045,3.9139,14.3459
"compile data for use in activities such as gene expression profiling, genome annotation, and structural bioinformatics.",47.0000,0.0047,3.5106,4.0000,16.8511,16.9574,5.3936,15.0000
"compile information about flights from flight plans, pilot reports, radar, or observations.",15.0000,0.0015,3.1333,3.0000,9.7333,9.3333,1.3867,8.5000
compile information on content and context of information to be translated and on intended audience.,21.0000,0.0021,3.5238,4.0000,11.2857,11.0000,1.7310,9.4286
compile information on governmental incentive programs related to the installation of energy or water saving plumbing systems or devices.,24.0000,0.0024,3.0417,3.0000,13.5000,12.4167,2.4354,8.1042
compile information or prepare reports on nanotechnology experiments or applications.,67.0000,0.0067,3.4776,4.0000,16.1493,16.4627,6.5784,16.3955
compile laboratory test data and perform appropriate analyses.,29.0000,0.0029,3.3103,4.0000,14.0690,14.3793,3.9810,15.8621
compile lists describing product or service offerings.,33.0000,0.0033,3.3636,4.0000,10.4545,11.0606,2.2106,7.7879
"compile lists of books, periodicals, articles, and audio-visual materials on particular subjects.",28.0000,0.0028,3.2857,3.5000,13.5714,14.1071,2.5064,4.9821
compile or develop materials to submit to granting or other funding organizations.,146.0000,0.0146,3.2740,3.0000,13.8904,14.1233,4.1292,16.7021
"compile reports of cost factors, such as labor, production, storage, or equipment.",22.0000,0.0022,3.1364,3.0000,13.2273,13.0909,2.5432,14.8636
"compile reports, charts, or graphs that describe and interpret findings of analyses.",808.0000,0.0808,3.3601,4.0000,11.7686,11.5037,2.7785,9.4895
"compile scripts, program notes, and other material related to productions.",282.0000,0.0282,3.1135,3.0000,10.7234,10.6915,4.1102,15.3209
"compile statistical, financial, accounting, or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",337.0000,0.0337,3.2166,3.0000,13.4154,13.3501,4.2388,15.3398
"compile terminology and information to be used in translations, including technical terms such as those for legal or medical material.",94.0000,0.0094,3.4043,4.0000,10.1809,10.2660,1.6561,5.3351
"compile, administer, and grade examinations or assign this work to others.",65.0000,0.0065,3.1846,4.0000,11.7077,11.8769,3.7017,13.3692
"compile, administer, and grade examinations, or assign this work to others.",791.0000,0.0791,3.2655,4.0000,12.4564,12.8559,3.8595,14.1820
"compile, analyze, and report data to explain economic phenomena and forecast market trends, applying mathematical models and statistical techniques.",329.0000,0.0329,3.3587,3.0000,12.6991,12.3222,2.7671,8.9065
"compile, copy, sort, and file records of office activities, business transactions, and other activities.",40.0000,0.0040,3.0500,3.0000,12.6250,12.5250,3.3450,11.4125
"compile, log, or record testing or operational data for review and further analysis.",143.0000,0.0143,3.1538,3.0000,11.7273,11.9301,2.6128,10.0035
"compile, record, and code results or data from interview or survey, using computer or specified form.",299.0000,0.0299,2.8495,3.0000,10.8161,11.2174,2.2696,9.4532
"compile, record, and evaluate personal and financial data to verify completeness and accuracy, and to determine eligibility status.",17.0000,0.0017,3.4118,4.0000,12.9412,12.5882,3.6647,10.5294
"compile, sort and verify the accuracy of data before it is entered.",161.0000,0.0161,2.8758,3.0000,11.7950,11.8696,2.2270,10.0031
complete customs paperwork.,27.0000,0.0027,3.4444,4.0000,12.1111,11.7037,2.1056,11.9074
complete form letters in response to requests or problems identified by correspondence.,483.0000,0.0483,3.0269,3.0000,11.6687,11.7578,1.1145,11.3271
complete insurance or other claim forms.,23.0000,0.0023,3.1739,3.0000,11.7826,11.3913,1.1965,9.6957
"complete models and simulations, using manual or automated tools, to analyze or predict system performance under different operating conditions.",721.0000,0.0721,3.7517,4.0000,15.9085,15.9487,7.1165,19.3568
"complete work schedules, manage calendars, and arrange appointments.",55.0000,0.0055,2.7636,3.0000,9.3273,10.0727,0.7584,10.2909
compose and edit scripts or provide screenwriters with story outlines from which scripts can be written.,261.0000,0.0261,3.2184,3.0000,10.6245,11.0268,4.9318,19.3774
"compose and frame each shot, applying the technical aspects of light, lenses, film, filters, and camera settings to achieve the effects sought by directors.",107.0000,0.0107,3.2804,3.0000,11.3738,11.7477,3.3159,16.0047
"compose business correspondence for supervisors, managers, and professionals.",555.0000,0.0555,3.0252,3.0000,12.4234,13.0198,1.1184,12.9946
compose correspondence requesting medical information and records.,72.0000,0.0072,3.0417,3.0000,12.3889,12.5694,1.2414,12.1875
"compose descriptions of merchandise for posting to online storefront, auction sites, or other shopping web sites.",821.0000,0.0821,3.1011,3.0000,10.5238,10.6346,3.9463,14.1657
compose explanatory summaries of contents of books and other reference materials.,63.0000,0.0063,3.1746,3.0000,12.1111,12.4762,1.7746,9.2460
"compose images of products, using video or still cameras, lighting equipment, props, or photo or video editing software.",533.0000,0.0533,3.4484,4.0000,10.2552,9.8011,3.9874,16.4991
"compose letters in reply to correspondence concerning such items as requests for merchandise, damage claims, credit information requests, delinquent accounts, incorrect billing, or unsatisfactory service.",2087.0000,0.2087,3.1471,3.0000,10.5918,10.7149,0.6013,9.2556
"compose original music such as popular songs, symphonies, or sonatas.",172.0000,0.0172,3.5000,4.0000,9.5988,9.1512,5.0805,17.6599
compose songs or create vocal arrangements.,139.0000,0.0139,3.4029,4.0000,8.7266,8.8633,2.9698,16.7302
"compose, type, and distribute meeting notes, routine correspondence, or reports, such as presentations or expense, statistical, or monthly reports.",130.0000,0.0130,2.9385,3.0000,11.6538,12.1231,0.9002,11.3346
"compound and dispense medications as prescribed by doctors and dentists, by calculating, weighing, measuring, and mixing ingredients, or oversee these activities.",96.0000,0.0096,3.1979,3.0000,10.7604,9.5312,1.3572,9.1302
"compress, digitize, duplicate, and store audio and video data.",16.0000,0.0016,3.6250,4.0000,9.5625,6.6250,0.5025,4.0000
"compute and analyze data, using statistical formulas and computers or calculators.",67.0000,0.0067,2.9104,3.0000,13.0448,13.4179,1.5975,14.8284
compute and record totals of transactions.,68.0000,0.0068,1.9118,2.0000,5.5294,6.1618,0.3225,4.6397
"compute and verify totals on report forms, requisitions, or bills, using adding machine or calculator.",47.0000,0.0047,1.7872,2.0000,4.9574,5.6809,0.2366,4.3670
"compute cost of travel and accommodations, using calculator, computer, carrier tariff books, and hotel rate books, or quote package tour's costs.",45.0000,0.0045,3.1111,3.0000,8.3333,8.5111,1.2896,8.1333
compute costs of labor and materials in order to determine production costs of products and articles.,15.0000,0.0015,2.6667,3.0000,9.7333,10.2000,0.9507,10.7667
"compute data such as gear dimensions and machine settings, applying knowledge of shop mathematics.",95.0000,0.0095,2.9789,3.0000,10.6842,10.8737,1.0443,9.2421
compute deductions for income and social security taxes.,44.0000,0.0044,2.9773,3.0000,11.8864,11.4545,0.8557,10.0000
"compute dimensions, areas, volumes, and weights.",346.0000,0.0346,2.8497,3.0000,9.1994,9.2254,0.8101,7.4068
"compute figures such as balances, totals, or commissions.",101.0000,0.0101,2.0990,2.0000,7.4356,7.9901,0.4277,5.7772
"compute financial fees, interest, and service charges.",59.0000,0.0059,2.7966,3.0000,12.3898,12.4237,1.3969,15.1271
"compute moisture or salt content, percentages of ingredients, formulas, or other product factors, using mathematical and chemical procedures.",375.0000,0.0375,2.8533,3.0000,11.9413,12.0827,1.1636,13.9547
"compute or estimate cash, payroll, transportation, personnel, or storage requirements.",34.0000,0.0034,3.2059,3.5000,10.7353,11.5294,1.6118,9.3529
"compute prices for services and receive payment, or provide supervisors with billing information.",107.0000,0.0107,2.8785,3.0000,9.3738,9.5234,1.3127,7.1075
compute prices of items or groups of items.,25.0000,0.0025,2.7600,3.0000,7.5200,7.7600,0.6144,5.9400
compute total charges for merchandise or services and shipping charges.,31.0000,0.0031,3.1290,3.0000,10.2258,9.8710,1.7597,13.0968
"compute wages and deductions, and enter data into computers.",55.0000,0.0055,2.8909,3.0000,10.2182,10.2909,1.0489,12.1818
"compute, withhold, and account for all payroll deductions.",27.0000,0.0027,3.1852,3.0000,11.8148,11.6667,1.9481,11.7037
"conduct applied research aimed at improvements in areas such as disease testing, crop quality, pharmaceuticals, and the harnessing of microbes to recycle waste.",96.0000,0.0096,3.3854,4.0000,16.0417,15.7708,6.9661,13.0755
"conduct chemical analyses of substances such as acids, alcohols, and enzymes.",32.0000,0.0032,3.4062,4.0000,11.2188,10.5000,3.5719,12.4375
"conduct classes or deliver lectures on subjects such as nutrition, home management, and farming techniques.",18.0000,0.0018,3.7778,4.0000,7.3333,6.2778,1.6083,7.9722
"conduct classes or demonstrations, or train other workers.",21.0000,0.0021,3.4286,4.0000,12.6190,12.9048,3.4586,23.1190
conduct classes to teach procedures to staff.,17.0000,0.0017,3.8235,4.0000,13.5882,14.6471,4.8412,30.2941
"conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic english language skills, life skills, and workforce entry skills.",2963.0000,0.2963,3.3955,4.0000,8.9447,8.4546,1.3597,8.5390
"conduct classes, workshops, and demonstrations, and provide individual instruction to teach topics and skills such as cooking, dancing, writing, physical fitness, photography, personal finance, and flying.",2536.0000,0.2536,3.6672,4.0000,9.4298,8.8048,2.0173,11.4610
"conduct clinical research on topics such as maternal or infant health care, contraceptive methods, breastfeeding, and gynecological care.",17.0000,0.0017,3.7647,4.0000,16.0588,15.4118,4.7000,14.9412
"conduct demonstrations to teach such skills as sports, dancing, and handicrafts.",191.0000,0.0191,3.5340,4.0000,7.8272,7.5079,3.3062,8.3482
conduct economic or commercial surveys to identify potential markets for products or services.,70.0000,0.0070,3.5000,4.0000,13.0571,13.1429,11.9186,9.6429
conduct educational programs that provide farmers or farm cooperative members with information that can help them improve agricultural productivity.,86.0000,0.0086,3.5000,4.0000,10.5349,10.0233,3.9390,14.5116
"conduct electrocardiogram (ekg), phonocardiogram, echocardiogram, stress testing, or other cardiovascular tests to record patients' cardiac activity, using specialized electronic test equipment, recording devices, or laboratory instruments.",28.0000,0.0028,3.3929,4.0000,14.1429,11.9286,1.9214,9.9464
"conduct energy audits to evaluate energy use, costs, or conservation measures.",15.0000,0.0015,2.9333,3.0000,14.4000,15.1333,3.4833,17.7333
conduct experimental or virtual studies to investigate characteristics and processing principles of potential microelectromechanical systems (mems) technology.,80.0000,0.0080,3.5000,4.0000,15.2000,15.0375,4.0210,16.1875
"conduct field surveys or study maps, graphs, diagrams, or other data to identify and correct power system problems.",83.0000,0.0083,3.4458,4.0000,12.9880,12.9518,2.7099,10.1325
"conduct historical research as a basis for the identification, conservation, and reconstruction of historic places and materials.",34.0000,0.0034,3.4706,4.0000,11.0588,10.8529,2.4676,9.9853
"conduct historical research, and publish or present findings and theories.",272.0000,0.0272,3.5882,4.0000,11.7206,11.0404,4.1246,13.3456
"conduct in-depth investigations of suspicious financial activity, such as suspected money-laundering efforts.",30.0000,0.0030,3.5333,4.0000,13.4333,12.5333,6.2150,14.4000
conduct internet-based and library research.,1726.0000,0.1726,3.3019,3.0000,11.6379,11.4415,2.7620,7.2135
"conduct interviews or surveys of users or customers to collect information on topics such as requirements, needs, fatigue, ergonomics, or interfaces.",22.0000,0.0022,3.3182,3.5000,12.8182,13.6364,3.4295,12.4773
"conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",5036.0000,0.5036,3.7210,4.0000,14.7786,14.8290,6.5530,18.8334
"conduct market research analysis to identify search query trends, real-time search and news media activity, popular social media topics, electronic commerce trends, market opportunities, or competitor performance.",116.0000,0.0116,3.5259,4.0000,12.6983,12.7155,5.5121,8.9353
conduct market research and analyze industry trends.,136.0000,0.0136,3.4779,4.0000,12.8529,13.0294,6.8229,9.6029
conduct materials test and analysis using tools and equipment and applying engineering knowledge.,297.0000,0.0297,3.5253,4.0000,14.8384,14.7744,3.8444,16.8535
"conduct meteorological research into the processes or determinants of atmospheric phenomena, weather, or climate.",74.0000,0.0074,3.4054,3.0000,13.4324,12.9730,2.8101,11.7365
conduct needs assessments and strategic learning assessments to develop the basis for curriculum development or to update curricula.,50.0000,0.0050,3.4400,4.0000,8.7800,11.1800,1.1134,4.7400
conduct needs assessments to identify document management requirements of departments or end users.,22.0000,0.0022,3.5000,3.5000,11.0909,12.7273,3.2009,7.7727
"conduct nutritional assessments of individuals, including obtaining and evaluating individuals' dietary histories, to plan nutritional programs.",226.0000,0.0226,3.4381,4.0000,9.7389,8.9690,1.9665,16.1748
"conduct on-the-job training classes or training sessions to teach and demonstrate principles, techniques, procedures, or methods of designated subjects.",121.0000,0.0121,3.7025,4.0000,12.5289,12.9504,3.2424,23.9008
"conduct ongoing prenatal health assessments, tracking changes in physical and emotional health.",29.0000,0.0029,3.4828,4.0000,11.7931,10.5517,1.3741,12.9655
"conduct online marketing initiatives, such as paid ad placement, affiliate programs, sponsorship programs, email promotions, or viral marketing campaigns on social media web sites.",85.0000,0.0085,3.5647,4.0000,11.1294,10.6824,3.1418,16.0412
"conduct or coordinate worker training in areas such as safety laws and regulations, hazardous condition monitoring, and use of safety equipment.",19.0000,0.0019,2.8421,3.0000,12.2105,11.5789,3.1553,15.8947
"conduct or oversee collection of corporate intelligence to avoid fraud, financial crime, cyber-attack, terrorism, and infrastructure failure.",29.0000,0.0029,3.6207,4.0000,12.3103,11.8276,2.0724,9.0345
conduct own research in field of expertise.,28.0000,0.0028,3.7500,4.0000,16.1071,16.1786,5.2036,17.5000
conduct quality analyses of data inputs and resulting analyses or predictions.,50.0000,0.0050,3.2400,3.0000,13.2200,13.3200,4.0754,14.5800
conduct reference or background checks on job applicants.,33.0000,0.0033,3.1212,3.0000,12.0606,12.3333,1.2242,12.6818
"conduct reference searches, using printed materials and in-house and online databases.",216.0000,0.0216,3.2083,3.0000,13.2593,13.3102,2.4413,8.1273
conduct research and interviews to determine which of a product's selling features should be promoted.,32.0000,0.0032,3.4062,4.0000,12.2188,12.7188,4.7103,11.1562
conduct research and present scientific findings.,60.0000,0.0060,3.6333,4.0000,13.0333,12.4667,3.6408,13.5500
"conduct research in a particular field of knowledge and present findings in professional journals, books, electronic media, or at professional conferences.",231.0000,0.0231,3.7879,4.0000,14.0087,13.3939,6.6116,17.0065
"conduct research in a particular field of knowledge and publish findings in books, professional journals, or electronic media.",130.0000,0.0130,3.7231,4.0000,13.3846,12.7308,5.1900,16.5192
"conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media.",1489.0000,0.1489,3.5406,4.0000,14.8395,14.6494,8.2041,19.1441
"conduct research in a particular field of knowledge and publish findings in scholarly journals, books, or electronic media.",84.0000,0.0084,3.7500,4.0000,14.2500,13.8690,5.6637,16.3333
"conduct research into the feasibility, design, operation, or performance of robotic mechanisms, components, or systems, such as planetary rovers, multiple mobile robots, reconfigurable robots, or man-machine interactions.",35.0000,0.0035,3.9143,4.0000,14.4000,13.9714,6.0500,21.3857
"conduct research on consumer opinions and marketing strategies, collaborating with marketing professionals, statisticians, pollsters, and other professionals.",99.0000,0.0099,3.4949,4.0000,12.5152,12.7475,5.2674,9.8990
conduct research on economic issues and disseminate research findings through technical reports or scientific articles in journals.,71.0000,0.0071,3.3944,4.0000,14.9437,14.8732,4.6613,15.0070
conduct research on new photonics technologies.,47.0000,0.0047,3.5319,4.0000,15.4894,16.5745,5.5915,13.5957
"conduct research or assist in the conduct of research, including the collection of information and samples, such as blood, water, soil, plants and animals.",44.0000,0.0044,3.1136,3.0000,12.1591,12.4091,3.9664,5.9773
"conduct research that tests or analyzes the feasibility, design, operation, or performance of equipment, components, or systems.",19.0000,0.0019,3.4737,4.0000,12.1579,11.9474,2.7132,7.0789
"conduct research to determine best methods of planting, spraying, cultivating, harvesting, storing, processing, or transporting horticultural products.",27.0000,0.0027,3.6667,4.0000,10.4074,10.4444,2.9444,11.0926
"conduct research to develop methodologies, instrumentation, and procedures for medical application, analyzing data and presenting findings to the scientific audience and general public.",21.0000,0.0021,3.2857,4.0000,14.8571,13.7619,5.3119,12.3571
conduct research to develop or improve diagnostic or therapeutic counseling techniques.,18.0000,0.0018,3.3889,3.0000,14.4444,14.3889,3.6889,14.3611
"conduct research to extend mathematical knowledge in traditional areas, such as algebra, geometry, probability, and logic.",215.0000,0.0215,3.4651,4.0000,14.8512,15.1070,3.3771,19.2977
conduct research to gather information about survey topics.,722.0000,0.0722,3.3476,4.0000,11.9460,12.0457,3.6266,8.3331
conduct research to generate new knowledge that can be used to address learning and behavior issues.,103.0000,0.0103,3.7184,4.0000,14.1553,13.9126,4.1252,18.4854
"conduct research to identify the goals, net worth, history of charitable donations, or other data related to potential donors, potential investors, or general donor markets.",44.0000,0.0044,3.4773,4.0000,14.2273,14.9545,5.3023,10.8636
"conduct research to obtain factual information and authentic detail, using sources such as newspaper accounts, diaries, and interviews.",18.0000,0.0018,2.8333,3.0000,10.1111,9.5556,1.2811,4.0278
"conduct research, along with life scientists, chemists, and medical scientists, on the engineering aspects of the biological systems of humans and animals.",93.0000,0.0093,3.5914,4.0000,15.6022,15.3763,4.7280,14.0323
"conduct research, compile data, and prepare papers for consideration and presentation by executives, committees, and boards of directors.",654.0000,0.0654,3.2401,3.0000,14.5367,14.7523,5.3497,14.2011
conduct safety training or education programs and demonstrate the use of safety equipment.,26.0000,0.0026,3.1923,4.0000,11.8846,12.1154,4.2827,16.7308
"conduct searches to find needed information, using such sources as the internet.",4152.0000,0.4152,2.8468,3.0000,8.7854,8.9646,0.7465,3.2737
"conduct seminars or workshops on financial planning topics, such as retirement planning, estate planning, or the evaluation of severance packages.",70.0000,0.0070,3.4429,4.0000,12.1857,12.0857,3.1286,16.0214
conduct short-term and long-term climate assessments and study storm occurrences.,26.0000,0.0026,3.4615,4.0000,10.9231,9.9615,3.3712,9.4038
conduct social research to advance knowledge in the social work field.,19.0000,0.0019,3.9474,4.0000,13.3684,12.6316,6.0132,28.5263
